"","...1","subject_condition","sim_n","BF","subj_n"
"1",1,"beta1","sim1",20.680216802168,25
"2",2,"beta1","sim2",6.11111111111111,25
"3",3,"beta1","sim3",165.666666666667,25
"4",4,"beta1","sim4",19.460358056266,25
"5",5,"beta1","sim5",39.6091370558376,25
"6",6,"beta1","sim6",0.61485668146952,25
"7",7,"beta1","sim7",24.2365930599369,25
"8",8,"beta1","sim8",7.89877641824249,25
"9",9,"beta1","sim9",3.94437577255871,25
"10",10,"beta1","sim10",12.6986301369863,25
"11",11,"beta1","sim11",134.593220338983,25
"12",12,"beta1","sim12",13.5454545454545,25
"13",13,"beta1","sim13",95.3855421686747,25
"14",14,"beta1","sim14",40.2371134020619,25
"15",15,"beta1","sim15",81.4742268041237,25
"16",16,"beta1","sim16",113.285714285714,25
"17",17,"beta1","sim17",1.48988484282602,25
"18",18,"beta1","sim18",0.807501129688206,25
"19",19,"beta1","sim19",27.3687943262411,25
"20",20,"beta1","sim20",3999,25
"21",21,"beta1","sim21",5.74536256323777,25
"22",22,"beta1","sim22",1999,25
"23",23,"beta1","sim23",189.47619047619,25
"24",24,"beta1","sim24",9.62416998671979,25
"25",25,"beta1","sim25",41.5531914893617,25
"26",26,"beta1","sim26",31.7868852459016,25
"27",27,"beta1","sim27",12.4003350083752,25
"28",28,"beta1","sim28",7999,25
"29",29,"beta1","sim29",9.56803170409511,25
"30",30,"beta1","sim30",15,25
"31",31,"beta1","sim31",1141.85714285714,25
"32",32,"beta1","sim32",3.11946446961895,25
"33",33,"beta1","sim33",141.857142857143,25
"34",34,"beta1","sim34",35.1990950226244,25
"35",35,"beta1","sim35",999,25
"36",36,"beta1","sim36",30.0077519379845,25
"37",37,"beta1","sim37",31.6530612244898,25
"38",38,"beta1","sim38",332.333333333333,25
"39",39,"beta1","sim39",23.1691842900302,25
"40",40,"beta1","sim40",118.402985074627,25
"41",41,"beta1","sim41",116.647058823529,25
"42",42,"beta1","sim42",295.296296296296,25
"43",43,"beta1","sim43",799,25
"44",44,"beta1","sim44",257.064516129032,25
"45",45,"beta1","sim45",63.5161290322581,25
"46",46,"beta1","sim46",147.148148148148,25
"47",47,"beta1","sim47",332.333333333333,25
"48",48,"beta1","sim48",7999,25
"49",49,"beta1","sim49",10.9402985074627,25
"50",50,"beta1","sim50",2665.66666666667,25
"51",51,"beta1","sim51",1332.33333333333,25
"52",52,"beta1","sim52",499,25
"53",53,"beta1","sim53",2.34868145667643,25
"54",54,"beta1","sim54",399,25
"55",55,"beta1","sim55",7999,25
"56",56,"beta1","sim56",7999,25
"57",57,"beta1","sim57",101.564102564103,25
"58",58,"beta1","sim58",2665.66666666667,25
"59",59,"beta1","sim59",85.9565217391304,25
"60",60,"beta1","sim60",8.9502487562189,25
"61",61,"beta1","sim61",614.384615384615,25
"62",62,"beta1","sim62",2.18091451292247,25
"63",63,"beta1","sim63",209.526315789474,25
"64",64,"beta1","sim64",85.9565217391304,25
"65",65,"beta1","sim65",152.846153846154,25
"66",66,"beta1","sim66",89.9090909090909,25
"67",67,"beta1","sim67",130.147540983607,25
"68",68,"beta1","sim68",71.0720720720721,25
"69",69,"beta1","sim69",20.5633423180593,25
"70",70,"beta1","sim70",52.6912751677852,25
"71",71,"beta1","sim71",532.333333333333,25
"72",72,"beta1","sim72",17.5614849187935,25
"73",73,"beta1","sim73",51.9801324503311,25
"74",74,"beta1","sim74",68.5652173913043,25
"75",75,"beta1","sim75",15.3265306122449,25
"76",76,"beta1","sim76",7999,25
"77",77,"beta1","sim77",63.5161290322581,25
"78",78,"beta1","sim78",46.3372781065089,25
"79",79,"beta1","sim79",40.2371134020619,25
"80",80,"beta1","sim80",10.2834978843441,25
"81",81,"beta1","sim81",209.526315789474,25
"82",82,"beta1","sim82",92.0232558139535,25
"83",83,"beta1","sim83",11.3076923076923,25
"84",84,"beta1","sim84",55.7375886524823,25
"85",85,"beta1","sim85",2.74707259953162,25
"86",86,"beta1","sim86",2.06983883346124,25
"87",87,"beta1","sim87",20.0526315789474,25
"88",88,"beta1","sim88",1.9806259314456,25
"89",89,"beta1","sim89",24.3164556962025,25
"90",90,"beta1","sim90",32.6134453781513,25
"91",91,"beta1","sim91",77.4313725490196,25
"92",92,"beta1","sim92",3.08997955010225,25
"93",93,"beta1","sim93",67.3760683760684,25
"94",94,"beta1","sim94",14.3256704980843,25
"95",95,"beta1","sim95",2665.66666666667,25
"96",96,"beta1","sim96",14.9362549800797,25
"97",97,"beta1","sim97",8.16380297823597,25
"98",98,"beta1","sim98",215.216216216216,25
"99",99,"beta1","sim99",6.47663551401869,25
"100",100,"beta1","sim100",1141.85714285714,25
"101",101,"beta1","sim101",15.7714884696017,25
"102",102,"beta1","sim102",42.2432432432432,25
"103",103,"beta1","sim103",7.15494393476045,25
"104",104,"beta1","sim104",50.6129032258064,25
"105",105,"beta1","sim105",9.12658227848101,25
"106",106,"beta1","sim106",7.29015544041451,25
"107",107,"beta1","sim107",887.888888888889,25
"108",108,"beta1","sim108",73.0740740740741,25
"109",109,"beta1","sim109",215.216216216216,25
"110",110,"beta1","sim110",40.8848167539267,25
"111",111,"beta1","sim111",204.128205128205,25
"112",112,"beta1","sim112",37.6473429951691,25
"113",113,"beta1","sim113",257.064516129032,25
"114",114,"beta1","sim114",8.11161731207289,25
"115",115,"beta1","sim115",0.879257693211182,25
"116",116,"beta1","sim116",17.3066361556064,25
"117",117,"beta1","sim117",50.2820512820513,25
"118",118,"beta1","sim118",43.4444444444444,25
"119",119,"beta1","sim119",147.148148148148,25
"120",120,"beta1","sim120",162.265306122449,25
"121",121,"beta1","sim121",46.3372781065089,25
"122",122,"beta1","sim122",16.0575692963753,25
"123",123,"beta1","sim123",3999,25
"124",124,"beta1","sim124",75.1904761904762,25
"125",125,"beta1","sim125",1141.85714285714,25
"126",126,"beta1","sim126",3.38837081733406,25
"127",127,"beta1","sim127",77.4313725490196,25
"128",128,"beta1","sim128",9.05025125628141,25
"129",129,"beta1","sim129",4.79710144927536,25
"130",130,"beta1","sim130",33.9344978165939,25
"131",131,"beta1","sim131",21.5988700564972,25
"132",132,"beta1","sim132",11.6782884310618,25
"133",133,"beta1","sim133",7.04828973843058,25
"134",134,"beta1","sim134",8.19540229885057,25
"135",135,"beta1","sim135",499,25
"136",136,"beta1","sim136",1.50548073911682,25
"137",137,"beta1","sim137",1999,25
"138",138,"beta1","sim138",78.2079207920792,25
"139",139,"beta1","sim139",74.4716981132076,25
"140",140,"beta1","sim140",3999,25
"141",141,"beta1","sim141",11.7186009538951,25
"142",142,"beta1","sim142",1599,25
"143",143,"beta1","sim143",52.6912751677852,25
"144",144,"beta1","sim144",14.2671755725191,25
