"","subject_condition","sim_n","BF","subj_n"
"1","beta1","sim1",6.48362956033676,40
"2","beta1","sim2",614.384615384615,40
"3","beta1","sim3",Inf,40
"4","beta1","sim4",469.588235294118,40
"5","beta1","sim5",399,40
"6","beta1","sim6",2665.66666666667,40
"7","beta1","sim7",34.2422907488987,40
"8","beta1","sim8",Inf,40
"9","beta1","sim9",319,40
"10","beta1","sim10",1999,40
"11","beta1","sim11",28.7397769516729,40
"12","beta1","sim12",265.666666666667,40
"13","beta1","sim13",26.1186440677966,40
"14","beta1","sim14",Inf,40
"15","beta1","sim15",1141.85714285714,40
"16","beta1","sim16",Inf,40
"17","beta1","sim17",665.666666666667,40
"18","beta1","sim18",306.692307692308,40
"19","beta1","sim19",7999,40
"20","beta1","sim20",362.636363636364,40
"21","beta1","sim21",19.1005025125628,40
"22","beta1","sim22",46.3372781065089,40
"23","beta1","sim23",7999,40
"24","beta1","sim24",215.216216216216,40
"25","beta1","sim25",19.997375328084,40
"26","beta1","sim26",194.121951219512,40
"27","beta1","sim27",1.6084121291164,40
"28","beta1","sim28",1999,40
"29","beta1","sim29",7.69565217391304,40
"30","beta1","sim30",3.24403183023873,40
"31","beta1","sim31",19.460358056266,40
"32","beta1","sim32",43.4444444444444,40
"33","beta1","sim33",420.052631578947,40
"34","beta1","sim34",14.5642023346303,40
"35","beta1","sim35",284.714285714286,40
"36","beta1","sim36",Inf,40
"37","beta1","sim37",53.7945205479452,40
"38","beta1","sim38",33.3347639484979,40
"39","beta1","sim39",16.4672489082969,40
"40","beta1","sim40",2665.66666666667,40
"41","beta1","sim41",420.052631578947,40
"42","beta1","sim42",61.015503875969,40
"43","beta1","sim43",104.263157894737,40
"44","beta1","sim44",13.0845070422535,40
"45","beta1","sim45",Inf,40
"46","beta1","sim46",113.285714285714,40
"47","beta1","sim47",147.148148148148,40
"48","beta1","sim48",5.6006600660066,40
"49","beta1","sim49",57.8235294117647,40
"50","beta1","sim50",7999,40
"51","beta1","sim51",319,40
"52","beta1","sim52",0.447439840781618,40
"53","beta1","sim53",1599,40
"54","beta1","sim54",Inf,40
"55","beta1","sim55",79.8080808080808,40
"56","beta1","sim56",101.564102564103,40
"57","beta1","sim57",999,40
"58","beta1","sim58",13.4665461121157,40
"59","beta1","sim59",Inf,40
"60","beta1","sim60",139.350877192982,40
"61","beta1","sim61",Inf,40
"62","beta1","sim62",7999,40
"63","beta1","sim63",1332.33333333333,40
