wals code,name,value,description,latitude,longitude,genus,family
xoo,!X\'f3\'f5,3,Complex tone system,-24.0,21.5,Tu,Tu
ani,//Ani,2,Simple tone system,-18.9166666667,21.9166666667,Khoe-Kwadi,Khoe-Kwadi
abk,Abkhaz,1,No tones,43.0833333333,41.0,Northwest Caucasian,Northwest Caucasian
acm,Achumawi,2,Simple tone system,41.5,-121.0,Achumawi,Hokan
aco,Acoma,3,Complex tone system,34.9166666667,-107.583333333,Keresan,Keresan
agh,Aghem,2,Simple tone system,6.66666666667,10.0,Wide Grassfields,Niger-Congo
aht,Ahtna,1,No tones,62.0,-145.0,Athapaskan,Na-Dene
aik,Aikan\'e1,2,Simple tone system,-12.6666666667,-60.6666666667,Aikan\'e1,Aikan\'e1
ain,Ainu,2,Simple tone system,43.0,143.0,Ainu,Ainu
akn,Akan,2,Simple tone system,6.5,-1.25,Tano,Niger-Congo
akw,Akawaio,1,No tones,6.0,-59.5,Cariban,Cariban
ala,Alamblak,1,No tones,-4.66666666667,143.333333333,Sepik Hill,Sepik
alw,Alawa,1,No tones,-15.1666666667,134.25,Mara,Mangarrayi-Maran
alb,Albanian,1,No tones,41.0,20.0,Albanian,Indo-European
aea,Aleut (Eastern),1,No tones,54.75,-164.0,Aleut,Eskimo-Aleut
ald,Alladian,2,Simple tone system,5.16666666667,-4.33333333333,Avikam-Alladian,Niger-Congo
ame,Amele,1,No tones,-5.25,145.583333333,Mabuso,Trans-New Guinea
amh,Amharic,1,No tones,10.0,38.0,Semitic,Afro-Asiatic
amo,Amo,2,Simple tone system,10.3333333333,8.66666666667,Central Kainji,Niger-Congo
amu,Amuesha,1,No tones,-10.5,-75.4166666667,Yanesha',Arawakan
amz,Amuzgo,3,Complex tone system,16.8333333333,-98.0,Amuzgoan,Oto-Manguean
adk,Andoke,2,Simple tone system,-0.666666666667,-72.0,Andoke,Andoke
ant,Angaataha,2,Simple tone system,-7.21666666667,146.25,Angaataha,Trans-New Guinea
anc,Angas,3,Complex tone system,9.5,9.5,West Chadic,Afro-Asiatic
ao,Ao,3,Complex tone system,26.5833333333,94.6666666667,Central Naga,Sino-Tibetan
api,Apinay\'e9,1,No tones,-5.5,-48.0,Je Setentrional,Macro-Ge
apu,Apurin\'e3,1,No tones,-9.0,-67.0,Purus,Arawakan
arb,Arabela,1,No tones,-2.0,-75.1666666667,Zaparoan,Zaparoan
aeg,Arabic (Egyptian),1,No tones,30.0,31.0,Semitic,Afro-Asiatic
ana,Araona,1,No tones,-12.3333333333,-67.75,Tacanan,Pano-Tacanan
arp,Arapesh (Mountain),1,No tones,-3.46666666667,143.166666667,Kombio-Arapesh,Torricelli
arc,Archi,1,No tones,42.0,46.8333333333,Lezgic,Nakh-Daghestanian
arm,Armenian (Eastern),1,No tones,40.0,45.0,Armenian,Indo-European
amp,Arrernte (Mparntwe),1,No tones,-24.0,136.0,Central Pama-Nyungan,Pama-Nyungan
asm,Asmat,1,No tones,-5.5,138.5,Asmat-Kamrau Bay,Asmat-Kamrau Bay
ata,Atayal,1,No tones,24.5,121.333333333,Atayalic,Austronesian
ava,Avar,1,No tones,42.5,46.5,Avar-Andic-Tsezic,Nakh-Daghestanian
awp,Awa Pit,1,No tones,1.5,-78.25,Barbacoan,Barbacoan
awn,Awngi,2,Simple tone system,10.8333333333,36.6666666667,Central Cushitic,Afro-Asiatic
aym,Aymara (Central),1,No tones,-17.0,-69.0,Aymaran,Aymaran
aze,Azerbaijani,1,No tones,40.5,48.5,Turkic,Altaic
bag,Bagirmi,3,Complex tone system,11.6666666667,16.0,Bongo-Bagirmi,Central Sudanic
bai,Bai,3,Complex tone system,26.0,100.0,Macro-Bai,Sino-Tibetan
baj,Bajau (Sama),1,No tones,-4.33333333333,123.0,Sama-Bajaw,Austronesian
bki,Bakair\'ed,1,No tones,-14.0,-55.0,Cariban,Cariban
bam,Bambara,2,Simple tone system,12.5,-7.5,Western Mande,Mande
byu,Bandjalang (Yugumbir),1,No tones,-27.9166666667,153.0,Southeastern Pama-Nyungan,Pama-Nyungan
brd,Bardi,1,No tones,-16.5833333333,122.916666667,Nyulnyulan,Nyulnyulan
brb,Bariba,3,Complex tone system,10.0,2.5,Baatonum,Niger-Congo
bsk,Bashkir,1,No tones,53.0,58.0,Turkic,Altaic
bsq,Basque,1,No tones,43.0,-3.0,Basque,Basque
bkr,Batak (Karo),1,No tones,3.25,98.25,Northwest Sumatra-Barrier Islands,Austronesian
bto,Batak (Toba),1,No tones,2.5,99.0,Northwest Sumatra-Barrier Islands,Austronesian
baw,Bawm,2,Simple tone system,22.5,92.25,Kuki-Chin,Sino-Tibetan
bee,Beembe,2,Simple tone system,-3.91666666667,14.0833333333,Bantu,Niger-Congo
bej,Beja,2,Simple tone system,18.0,36.0,Beja,Afro-Asiatic
bco,Bella Coola,1,No tones,52.5,-126.666666667,Bella Coola,Salishan
ben,Bengali,1,No tones,24.0,90.0,Indic,Indo-European
bma,Berber (Middle Atlas),1,No tones,33.0,-5.0,Berber,Afro-Asiatic
ber,Berta,2,Simple tone system,10.3333333333,34.6666666667,Berta,Berta
bir,Birom,3,Complex tone system,9.66666666667,8.83333333333,Benue-Congo Plateau,Niger-Congo
bis,Bisa,1,No tones,11.5,-0.5,Eastern Mande,Mande
bbf,Bobo Madar\'e9 (Northern),3,Complex tone system,12.4166666666667,-4.3333333333333,Western Mande,Mande
bod,Bodo,2,Simple tone system,26.8333333333,92.0,Brahmaputran,Sino-Tibetan
brr,Bororo,1,No tones,-16.0,-57.0,Bororoan,Bororoan
brh,Brahui,1,No tones,28.5,67.0,Dravidian,Dravidian
bre,Breton,1,No tones,48.0,-3.0,Celtic,Indo-European
brw,Bru (Western),1,No tones,16.75,104.75,Katuic,Austro-Asiatic
bul,Bulgarian,1,No tones,42.5,25.0,Slavic,Indo-European
bua,Burarra,1,No tones,-12.25,134.583333333,Burarran,Mangrida
brm,Burmese,3,Complex tone system,21.0,96.0,Burmese-Lolo,Sino-Tibetan
bur,Burushaski,1,No tones,36.5,74.5,Burushaski,Burushaski
bet,B\'e9t\'e9,3,Complex tone system,6.25,-6.25,Kru,Niger-Congo
cac,Cacua,2,Simple tone system,1.08333333333,-70.0,Cacua-Nukak,Cacua-Nukak
cad,Caddo,2,Simple tone system,33.3333333333,-93.5,Caddo,Caddoan
cah,Cahuilla,1,No tones,33.5,-116.25,Northern Uto-Aztecan,Uto-Aztecan
cax,Campa (Axininca),1,No tones,-12.0,-74.0,Pre-Andine Arawakan,Arawakan
cam,Cams\'e1,1,No tones,1.16666666667,-77.0,Cams\'e1,Cams\'e1
cnl,Canela,1,No tones,-7.0,-45.0,Je Setentrional,Macro-Ge
cnt,Cantonese,3,Complex tone system,23.0,113.0,Chinese,Sino-Tibetan
car,Carib,1,No tones,5.5,-56.0,Cariban,Cariban
ctl,Catalan,1,No tones,41.75,2.0,Romance,Indo-European
cyv,Cayuvava,1,No tones,-13.5,-65.5,Cayuvava,Cayuvava
chw,Cham (Western),2,Simple tone system,12.0,105.5,Malayo-Sumbawan,Austronesian
cha,Chamorro,1,No tones,13.45,144.75,Chamorro,Austronesian
cso,Chatino (Sierra Occidental),3,Complex tone system,16.25,-97.3333333333,Zapotecan,Oto-Manguean
chl,Chehalis (Upper),1,No tones,46.5833333333,-123.0,Tsamosan,Salishan
che,Cherokee,2,Simple tone system,35.5,-83.5,Southern Iroquoian,Iroquoian
cck,Chickasaw,1,No tones,34.0,-88.0,Muskogean,Muskogean
cti,Chin (Tiddim),3,Complex tone system,23.3333333333,93.6666666667,Kuki-Chin,Sino-Tibetan
cle,Chinantec (Lealao),3,Complex tone system,17.3333333333,-95.9166666667,Chinantecan,Oto-Manguean
chq,Chinantec (Quiotepec),3,Complex tone system,17.5833333333,-96.6666666667,Chinantecan,Oto-Manguean
chp,Chipewyan,2,Simple tone system,59.0,-106.0,Athapaskan,Na-Dene
chk,Chukchi,1,No tones,67.0,-173.0,Northern Chukotko-Kamchatkan,Chukotko-Kamchatkan
chv,Chuvash,1,No tones,55.5,47.5,Turkic,Altaic
cil,CiLuba,2,Simple tone system,-6.0,22.0,Bantu,Niger-Congo
ccp,Cocopa,1,No tones,32.3333333333,-115.0,Yuman,Hokan
cmn,Comanche,1,No tones,33.5,-101.5,Northern Uto-Aztecan,Uto-Aztecan
coo,Coos (Hanis),1,No tones,43.5,-124.166666667,Coosan,Oregon Coast
cre,Cree (Plains),1,No tones,54.0,-110.0,Algonquian,Algic
cub,Cubeo,2,Simple tone system,1.33333333333,-70.5,Tucanoan,Tucanoan
dad,Dadibi,2,Simple tone system,-6.55,144.583333333,Teberan,Teberan-Pawaian
dgb,Dagbani,2,Simple tone system,9.58333333333,-0.5,Oti-Volta,Niger-Congo
dgr,Dagur,1,No tones,48.0,124.0,Mongolic,Altaic
dah,Dahalo,2,Simple tone system,-2.33333333333,40.5,Dahalo,Afro-Asiatic
ddf,Daju (Dar Fur),1,No tones,12.25,25.25,Daju,Eastern Sudanic
dan,Dan,3,Complex tone system,7.5,-8.0,Eastern Mande,Mande
dnw,Dangal\'e9at (Western),2,Simple tone system,12.1666666667,18.3333333333,East Chadic,Afro-Asiatic
dni,Dani (Lower Grand Valley),1,No tones,-4.33333333333,138.833333333,Dani,Trans-New Guinea
dar,Darai,1,No tones,24.0,84.0,Indic,Indo-European
det,Deti,2,Simple tone system,-20.5,24.5,Khoe-Kwadi,Khoe-Kwadi
die,Diegue\'f1o (Mesa Grande),1,No tones,32.6666666667,-116.166666667,Yuman,Hokan
din,Dinka,3,Complex tone system,8.5,28.0,Western Nilotic,Eastern Sudanic
dio,Diola-Fogny,1,No tones,13.0,-16.25,Jola,Niger-Congo
diy,Diyari,1,No tones,-28.0,139.0,Central Pama-Nyungan,Pama-Nyungan
diz,Dizi,3,Complex tone system,6.16666666667,36.5,Dizoid,Afro-Asiatic
djp,Djapu,1,No tones,-12.6666666667,136.0,Western Pama-Nyungan,Pama-Nyungan
der,Dla (Proper),1,No tones,-3.58333333333,141.0,Senagi,Senagi
don,Dong (Southern),3,Complex tone system,27.0,109.0,Kam-Tai,Tai-Kadai
doy,Doyayo,3,Complex tone system,8.66666666667,13.0833333333,Samba-Duru,Niger-Congo
