"","...1","n_subj","tau_true","sim_n","tau_med","p_gt_star","p_lt_star"
"1",1,60,0,1,0.0207975,0,1
"2",2,60,0,2,0.0261349,0,1
"3",3,60,0,3,0.016077,0,1
"4",4,60,0,4,0.02139005,0,1
"5",5,60,0,5,0.0385691,0,1
"6",6,60,0,6,0.03819575,0,1
"7",7,60,0,7,0.04201135,0,1
"8",8,60,0,8,0.03234835,0,1
"9",9,60,0,9,0.01777045,0,1
"10",10,60,0,10,0.0331422,0,1
"11",11,60,0,11,0.02112955,0,1
"12",12,60,0,12,0.0200876,0,1
"13",13,60,0,13,0.01364945,0,1
"14",14,60,0,14,0.0166961,0,1
"15",15,60,0,15,0.03461295,0,1
"16",16,60,0,16,0.03164635,0,1
"17",17,60,0,17,0.0316533,0,1
"18",18,60,0,18,0.0263901,0,1
"19",19,60,0,19,0.0209553,0,1
"20",20,60,0,20,0.02560965,0,1
"21",21,60,0,21,0.0168476,0,1
"22",22,60,0,22,0.0305404,0,1
"23",23,60,0,23,0.044134,0,1
"24",24,60,0,24,0.0169508,0,1
"25",25,60,0,25,0.02314395,0,1
"26",26,60,0,26,0.02973985,0,1
"27",27,60,0,27,0.02150645,0,1
"28",28,60,0,28,0.02462645,0,1
"29",29,60,0,29,0.028831,0,1
"30",30,60,0,30,0.0222888,0,1
"31",31,60,0,31,0.0180184,0,1
"32",32,60,0,32,0.0292702,0,1
"33",33,60,0,33,0.0802106,0,1
"34",34,60,0,34,0.015965,0,1
"35",35,60,0,35,0.0301366,0,1
"36",36,60,0,36,0.01333615,0,1
"37",37,60,0,37,0.0340659,0,1
"38",38,60,0,38,0.0348749,0,1
"39",39,60,0,39,0.0204282,0,1
"40",40,60,0,40,0.0333254,0,1
"41",41,60,0,41,0.0244243,0,1
"42",42,60,0,42,0.02376135,0,1
"43",43,60,0,43,0.01505685,0,1
"44",44,60,0,44,0.02152595,0,1
"45",45,60,0,45,0.0254102,0,1
"46",46,60,0,46,0.039932,0,1
"47",47,60,0,47,0.0252367,0,1
"48",48,60,0,48,0.0453583,0,1
"49",49,60,0,49,0.0286672,0,1
"50",50,60,0,50,0.0185541,0,1
"51",51,60,0,51,0.02516225,0,1
"52",52,60,0,52,0.01889915,0,1
"53",53,60,0,53,0.0357571,0,1
"54",54,60,0,54,0.0234377,0,1
"55",55,60,0,55,0.0256067,0,1
"56",56,60,0,56,0.0156229,0,1
"57",57,60,0,57,0.02175885,0,1
"58",58,60,0,58,0.0204213,0,1
"59",59,60,0,59,0.02067475,0,1
"60",60,60,0,60,0.0334488,0,1
