target,slope_dur,val,target_raw,target_st,val_st,val_projected
-50,40,119,70,-9.331290943962625,-0.14487398760689962,148.75
-50,60,118,70,-9.331290943962625,-0.29097055496012814,147.5
-50,100,110,70,-9.331290943962625,-1.5063705850063078,137.5
-50,150,99,70,-9.331290943962625,-3.3304077063469073,123.75
-50,250,90,70,-9.331290943962625,-4.980449991346125,112.5
-20,40,120,100,-3.1564128700055254,0,150
-20,60,119,100,-3.1564128700055254,-0.14487398760689962,148.75
-20,100,117,100,-3.1564128700055254,-0.4383105123013685,146.25
-20,150,114,100,-3.1564128700055254,-0.8880069773253232,142.5
-20,250,108.5,100,-3.1564128700055254,-1.7440723579684705,135.625
-10,40,121,110,-1.5063705850063078,0.1436716999929113,151.25
-10,60,119,110,-1.5063705850063078,-0.14487398760689962,148.75
-10,100,118.5,110,-1.5063705850063078,-0.21776816052311232,148.125
-10,150,117.5,110,-1.5063705850063078,-0.3644837885222264,146.875
-10,250,116,110,-1.5063705850063078,-0.5869152057713568,145
10,40,122,130,1.3857266090392306,0.28616090345241196,152.5
10,60,122.5,130,1.3857266090392306,0.35696812072862316,153.125
10,100,125,130,1.3857266090392306,0.7067242686428233,156.25
10,150,127,130,1.3857266090392306,0.9815290939637682,158.75
10,250,128,130,1.3857266090392306,1.1173128526977774,160
20,40,123,140,2.6687090560373763,0.4274869167686547,153.75
20,60,127,140,2.6687090560373763,0.9815290939637682,158.75
20,100,129,140,2.6687090560373763,1.2520399177768264,161.25
20,150,132.5,140,2.6687090560373763,1.715495446104517,165.625
20,250,135,140,2.6687090560373763,2.0391000173077485,168.75
70,40,135,190,7.955580152669151,2.0391000173077485,168.75
70,60,136,190,7.955580152669151,2.16686694770185,170
70,100,147,190,7.955580152669151,3.5133809907341513,183.75
70,150,156,190,7.955580152669151,4.542139479044758,195
70,250,164.5,190,7.955580152669151,5.460638137520675,205.625
