participant,final_rating,final_moves,response_list,response_dir,is_correct,trial_list,rt,met_score,stimuli_type,delta_f,stimuli_direction,delta_t,response_f
1727,11.0,14.0,"12,11,10,9,8,7,10,11,10,11,12,11,10,11",m,True,main_files/trial_di/07_di_cross_150hz_75db_250ff-000-100.wav,43.6166,25.0,di,0,0,0,150.0
1727,10.0,44.0,"10,11,16,10,11,12,11,10,9,8,7,8,9,10,9,10,11,10,9,8,1,2,3,4,5,6,7,8,9,10,11,12,11,10,20,9,10,11,10,12,11,10,9,10",l,True,main_files/trial_di/07_di_cross_150hz_75db_250ff-30n-120.wav,107.0526,25.0,di,30,n,120,145.0
1727,12.0,13.0,"10,20,19,18,16,14,12,14,1,2,12,13,12",h,True,main_files/trial_di/07_di_cross_150hz_75db_250ff-10p-250.wav,40.6936,25.0,di,10,p,250,155.0
1727,11.0,14.0,"9,10,20,19,18,16,14,13,12,11,12,11,10,11",m,False,main_files/trial_di/07_di_cross_150hz_75db_250ff-10p-80.wav,36.4385,25.0,di,10,p,80,150.0
1727,13.0,35.0,"6,7,8,9,10,11,12,11,13,14,13,10,1,2,4,14,13,14,13,15,14,13,14,12,13,14,13,12,13,12,13,14,13,14,13",h,True,main_files/trial_di/07_di_cross_150hz_75db_250ff-30p-250.wav,83.7765,25.0,di,30,p,250,160.0
1727,11.0,5.0,"13,12,11,10,11",m,False,main_files/trial_di/07_di_cross_150hz_75db_250ff-40p-40.wav,12.2644,25.0,di,40,p,40,150.0
1727,11.0,16.0,"12,10,9,1,2,3,4,5,6,7,8,9,10,11,12,11",m,False,main_files/trial_di/07_di_cross_150hz_75db_250ff-10p-60.wav,35.6602,25.0,di,10,p,60,150.0
1727,11.0,26.0,"12,2,4,7,9,8,10,11,7,8,9,10,20,14,11,12,8,9,10,9,10,11,12,11,10,11",m,False,main_files/trial_di/07_di_cross_150hz_75db_250ff-30n-80.wav,63.7439,25.0,di,30,n,80,150.0
1727,11.0,21.0,"10,12,20,18,1,6,8,10,4,5,6,7,20,17,14,12,9,10,11,10,11",m,False,main_files/trial_di/07_di_cross_150hz_75db_250ff-10n-40.wav,49.46,25.0,di,10,n,40,150.0
1727,11.0,8.0,"12,10,11,20,11,10,12,11",m,False,main_files/trial_di/07_di_cross_150hz_75db_250ff-10p-120.wav,18.4285,25.0,di,10,p,120,150.0
1727,11.0,7.0,"13,8,9,10,11,12,11",m,False,main_files/trial_di/07_di_cross_150hz_75db_250ff-20n-80.wav,14.6223,25.0,di,20,n,80,150.0
1727,11.0,11.0,"14,20,19,14,13,12,11,10,11,12,11",m,False,main_files/trial_di/07_di_cross_150hz_75db_250ff-20n-120.wav,24.4383,25.0,di,20,n,120,150.0
1727,11.0,9.0,"9,2,3,4,6,8,10,12,11",m,False,main_files/trial_di/07_di_cross_150hz_75db_250ff-10n-80.wav,19.6611,25.0,di,10,n,80,150.0
1727,11.0,20.0,"14,20,16,13,12,13,12,11,12,1,12,11,10,20,17,13,10,11,12,11",m,False,main_files/trial_di/07_di_cross_150hz_75db_250ff-30p-80.wav,45.7636,25.0,di,30,p,80,150.0
1727,11.0,10.0,"10,12,20,12,11,12,1,12,20,11",m,True,main_files/trial_di/07_di_cross_150hz_75db_250ff-000-250.wav,27.9894,25.0,di,0,0,0,150.0
1727,9.0,15.0,"10,1,4,7,10,9,11,10,9,10,9,8,9,10,9",l,True,main_files/trial_di/07_di_cross_150hz_75db_250ff-30n-40.wav,33.8461,25.0,di,30,n,40,140.0
1727,12.0,20.0,"20,12,8,1,5,8,10,9,7,8,6,9,10,20,19,13,14,12,20,12",h,True,main_files/trial_di/07_di_cross_150hz_75db_250ff-40p-120.wav,48.947,25.0,di,40,p,120,155.0
1727,9.0,6.0,"10,9,8,1,6,9",l,True,main_files/trial_di/07_di_cross_150hz_75db_250ff-40n-120.wav,16.9699,25.0,di,40,n,120,140.0
1727,12.0,6.0,"20,13,12,11,13,12",h,False,main_files/trial_di/07_di_cross_150hz_75db_250ff-40n-40.wav,16.0365,25.0,di,40,n,40,155.0
1727,13.0,11.0,"9,10,11,1,20,11,12,20,13,14,13",h,True,main_files/trial_di/07_di_cross_150hz_75db_250ff-20p-60.wav,26.3324,25.0,di,20,p,60,160.0
1727,11.0,8.0,"20,9,10,11,1,11,10,11",m,False,main_files/trial_di/07_di_cross_150hz_75db_250ff-20p-40.wav,18.511,25.0,di,20,p,40,150.0
1727,7.0,9.0,"1,5,7,8,9,8,7,6,7",l,True,main_files/trial_di/07_di_cross_150hz_75db_250ff-40n-250.wav,21.128,25.0,di,40,n,250,130.0
1727,11.0,6.0,"20,19,20,19,12,11",m,False,main_files/trial_di/07_di_cross_150hz_75db_250ff-10p-40.wav,21.9274,25.0,di,10,p,40,150.0
1727,12.0,30.0,"1,2,10,9,7,8,9,10,20,19,17,16,12,13,20,13,14,13,12,13,11,12,13,14,1,14,13,12,11,12",h,True,main_files/trial_di/07_di_cross_150hz_75db_250ff-40p-60.wav,83.236,25.0,di,40,p,60,155.0
1727,10.0,30.0,"20,7,8,9,6,9,8,7,14,1,2,3,5,7,5,6,2,10,20,17,14,16,5,7,8,9,10,11,9,10",l,True,main_files/trial_di/07_di_cross_150hz_75db_250ff-30n-60.wav,72.094,25.0,di,30,n,60,145.0
1727,11.0,3.0,"20,16,11",m,False,main_files/trial_di/07_di_cross_150hz_75db_250ff-10n-120.wav,10.1448,25.0,di,10,n,120,150.0
1727,10.0,17.0,"1,4,7,6,10,9,12,20,16,20,16,11,12,10,11,9,10",l,False,main_files/trial_di/07_di_cross_150hz_75db_250ff-20p-120.wav,53.7365,25.0,di,20,p,120,145.0
1727,11.0,6.0,"20,13,12,11,10,11",m,True,main_files/trial_di/07_di_cross_150hz_75db_250ff-000-40.wav,13.1564,25.0,di,0,0,0,150.0
1727,10.0,26.0,"7,8,9,10,11,12,11,10,9,10,8,10,14,13,20,18,9,1,2,3,8,9,20,8,9,10",l,False,main_files/trial_di/07_di_cross_150hz_75db_250ff-40p-250.wav,83.5181,25.0,di,40,p,250,145.0
1727,5.0,12.0,"20,19,20,19,3,4,5,6,7,4,6,5",l,True,main_files/trial_di/07_di_cross_150hz_75db_250ff-20n-250.wav,42.5801,25.0,di,20,n,250,120.0
1727,11.0,0.0,,l,True,main_files/trial_di/07_di_cross_150hz_75db_250ff-40n-100.wav,0.0,25.0,di,40,n,100,150.0
1727,11.0,5.0,"20,10,11,12,11",m,False,main_files/trial_di/07_di_cross_150hz_75db_250ff-30p-100.wav,13.4142,25.0,di,30,p,100,150.0
