participant,final_rating,trial_list,rt,stimuli_type,delta_f,stimuli_direction,delta_t,response_f
TimoR,12.0,main_files/trial_tone/tone_150hz_75db_250ff-10p-120.wav,8.7666,tone,10,p,120,155.0
TimoR,13.0,main_files/trial_tone/tone_150hz_75db_250ff-10p-40.wav,2.627,tone,10,p,40,160.0
TimoR,13.0,main_files/trial_tone/tone_150hz_75db_250ff-20p-40.wav,6.8668,tone,20,p,40,160.0
TimoR,12.0,main_files/trial_tone/tone_150hz_75db_250ff-10p-100.wav,2.9091,tone,10,p,100,155.0
TimoR,11.0,main_files/trial_tone/tone_150hz_75db_250ff-20n-60.wav,4.9777,tone,20,n,60,150.0
TimoR,12.0,main_files/trial_tone/tone_150hz_75db_250ff-40p-120.wav,15.6023,tone,40,p,120,155.0
TimoR,12.0,main_files/trial_tone/tone_150hz_75db_250ff-10n-60.wav,2.6971,tone,10,n,60,155.0
TimoR,12.0,main_files/trial_tone/tone_150hz_75db_250ff-20n-80.wav,4.2254,tone,20,n,80,155.0
TimoR,11.0,main_files/trial_tone/tone_150hz_75db_250ff-20n-40.wav,4.2968,tone,20,n,40,150.0
TimoR,12.0,main_files/trial_tone/tone_150hz_75db_250ff-30n-60.wav,22.8341,tone,30,n,60,155.0
TimoR,9.0,main_files/trial_tone/tone_150hz_75db_250ff-30p-100.wav,10.3778,tone,30,p,100,140.0
TimoR,10.0,main_files/trial_tone/tone_150hz_75db_250ff-10p-80.wav,6.2262,tone,10,p,80,145.0
TimoR,13.0,main_files/trial_tone/tone_150hz_75db_250ff-20p-80.wav,6.1507,tone,20,p,80,160.0
TimoR,6.0,main_files/trial_tone/tone_150hz_75db_250ff-40n-120.wav,2.6835,tone,40,n,120,125.0
TimoR,13.0,main_files/trial_tone/tone_150hz_75db_250ff-30p-120.wav,2.1965,tone,30,p,120,160.0
TimoR,14.0,main_files/trial_tone/tone_150hz_75db_250ff-40n-60.wav,5.6361,tone,40,n,60,165.0
TimoR,12.0,main_files/trial_tone/tone_150hz_75db_250ff-10n-120.wav,5.9501,tone,10,n,120,155.0
TimoR,15.0,main_files/trial_tone/tone_150hz_75db_250ff-30p-80.wav,7.3518,tone,30,p,80,170.0
TimoR,14.0,main_files/trial_tone/tone_150hz_75db_250ff-40n-100.wav,2.3684,tone,40,n,100,165.0
TimoR,13.0,main_files/trial_tone/tone_150hz_75db_250ff-000-80.wav,2.3469,tone,0,0,0,160.0
TimoR,11.0,main_files/trial_tone/tone_150hz_75db_250ff-30n-80.wav,4.3368,tone,30,n,80,150.0
TimoR,11.0,main_files/trial_tone/tone_150hz_75db_250ff-30n-120.wav,6.3151,tone,30,n,120,150.0
TimoR,12.0,main_files/trial_tone/tone_150hz_75db_250ff-20p-60.wav,2.1822,tone,20,p,60,155.0
TimoR,10.0,main_files/trial_tone/tone_150hz_75db_250ff-10n-40.wav,8.5179,tone,10,n,40,145.0
TimoR,10.0,main_files/trial_tone/tone_150hz_75db_250ff-40p-60.wav,3.0323,tone,40,p,60,145.0
TimoR,12.0,main_files/trial_tone/tone_150hz_75db_250ff-000-60.wav,2.8597,tone,0,0,0,155.0
TimoR,12.0,main_files/trial_tone/tone_150hz_75db_250ff-000-40.wav,6.4831,tone,0,0,0,155.0
TimoR,10.0,main_files/trial_tone/tone_150hz_75db_250ff-20p-100.wav,4.2968,tone,20,p,100,145.0
TimoR,8.0,main_files/trial_tone/tone_150hz_75db_250ff-30n-100.wav,2.6641,tone,30,n,100,135.0
TimoR,9.0,main_files/trial_tone/tone_150hz_75db_250ff-20n-100.wav,2.008,tone,20,n,100,140.0
TimoR,9.0,main_files/trial_tone/tone_150hz_75db_250ff-30n-40.wav,1.8831,tone,30,n,40,140.0
TimoR,12.0,main_files/trial_tone/tone_150hz_75db_250ff-10n-80.wav,5.8397,tone,10,n,80,155.0
TimoR,13.0,main_files/trial_tone/tone_150hz_75db_250ff-40p-80.wav,5.2968,tone,40,p,80,160.0
TimoR,16.0,main_files/trial_tone/tone_150hz_75db_250ff-40p-100.wav,2.4183,tone,40,p,100,175.0
TimoR,13.0,main_files/trial_tone/tone_150hz_75db_250ff-000-100.wav,2.7003,tone,0,0,0,160.0
TimoR,11.0,main_files/trial_tone/tone_150hz_75db_250ff-40n-80.wav,0.0,tone,40,n,80,150.0
